Open,High,Low,Close,Volume
11003.25,11078.150391,10935.599609,11029.400391,511500.0
11043.650391,11068.650391,10924.299805,11047.799805,470900.0
11094.799805,11146.900391,11037.849609,11053.900391,369500.0
11063.900391,11076.299805,10985.299805,11017.0,444700.0
11018.150391,11034.200195,10906.650391,10918.700195,557900.0
10905.299805,10908.25,10718.299805,10741.349609,668200.0
10699.599609,10862.549805,10637.150391,10829.349609,667100.0
11000.299805,11070.299805,10756.549805,11057.849609,684100.0
11106.549805,11141.75,11049.5,11105.349609,685600.0
11101.299805,11129.650391,10987.650391,11046.099609,550000.0
10996.049805,11021.099609,10922.400391,10948.299805,649900.0
10987.799805,11042.599609,10874.799805,11023.25,628200.0
10960.950195,10967.5,10772.700195,10797.900391,483000.0
10790.400391,10858.75,10746.349609,10844.650391,508800.0
10860.950195,10920.099609,10816.0,10847.900391,595700.0
10883.799805,10957.049805,10867.450195,10946.200195,497200.0
10936.700195,11028.849609,10889.799805,11003.049805,412500.0
11028.5,11054.799805,11011.650391,11035.700195,687100.0
11058.299805,11081.75,10964.950195,10982.799805,551400.0
10986.799805,11084.450195,10945.75,11075.900391,624300.0
10994.849609,11052.700195,10968.200195,11003.5,434500.0
11000.099609,11000.099609,10796.5,10817.599609,482000.0
10872.799805,10885.150391,10804.849609,10840.650391,519200.0
10845.200195,10845.200195,10670.25,10704.799805,642600.0
10746.799805,11381.900391,10691.0,11274.200195,1356800.0
11542.700195,11694.849609,11471.349609,11600.200195,882800.0
11590.700195,11655.049805,11539.200195,11588.200195,651700.0
11564.849609,11564.950195,11416.099609,11440.200195,629100.0
11469.849609,11610.849609,11466.349609,11571.200195,844500.0
11556.349609,11593.599609,11499.75,11512.400391,650000.0
11491.150391,11508.25,11390.799805,11474.450195,756800.0
11515.400391,11554.200195,11247.900391,11359.900391,1305400.0
11322.25,11370.400391,11257.349609,11314.0,1017500.0
11388.450195,11400.299805,11158.349609,11174.75,928500.0
11196.200195,11233.849609,11112.650391,11126.400391,733200.0
11152.950195,11321.599609,11090.150391,11313.299805,741100.0
11280.5,11293.349609,11208.549805,11234.549805,562000.0
11257.700195,11362.900391,11189.400391,11305.049805,737800.0
11335.900391,11420.450195,11290.049805,11341.150391,587600.0
11360.849609,11462.349609,11342.099609,11428.299805,527400.0
11464.950195,11481.049805,11411.099609,11464.0,533500.0
11466.299805,11599.099609,11439.650391,11586.349609,797600.0
11580.299805,11684.700195,11553.150391,11661.849609,853400.0
11657.150391,11714.349609,11573.650391,11588.349609,867600.0
11596.200195,11651.599609,11554.400391,11604.099609,664200.0
11661.650391,11679.599609,11534.650391,11582.599609,700500.0
11646.150391,11646.900391,11490.75,11583.900391,812000.0
11643.950195,11809.400391,11627.349609,11786.849609,951700.0
11883.900391,11883.950195,11784.450195,11844.099609,725200.0
11890.450195,11945.0,11855.099609,11877.450195,1414800.0
11886.599609,11918.299805,11843.349609,11890.599609,855300.0
11928.900391,11989.150391,11905.349609,11941.299805,823100.0
11974.599609,11978.950195,11861.900391,11917.200195,632000.0
11911.5,12002.900391,11850.25,11966.049805,603400.0
12021.099609,12021.400391,11946.849609,12012.049805,563000.0
11987.150391,12034.150391,11888.75,11908.150391,789300.0
11879.200195,11932.650391,11853.950195,11913.450195,549000.0
11908.299805,11946.799805,11823.200195,11840.450195,659000.0
11858.75,11895.650391,11802.650391,11872.099609,559500.0
11904.200195,11973.650391,11879.25,11895.450195,580200.0
11915.150391,11946.200195,11867.599609,11884.5,514400.0
11919.450195,11958.849609,11881.75,11940.099609,613900.0
12004.75,12038.599609,11966.049805,11999.099609,646700.0
12025.650391,12028.200195,11956.900391,11968.400391,557700.0
11967.299805,11968.099609,11883.5,11914.400391,486800.0
11922.450195,12084.5,11919.75,12073.75,534300.0
12110.200195,12132.450195,12006.349609,12037.700195,1201300.0
12068.5,12114.900391,12055.150391,12100.700195,584200.0
12132.099609,12158.799805,12099.950195,12151.150391,620500.0
12146.200195,12147.400391,12017.400391,12056.049805,804400.0
12137.049805,12137.150391,12023.700195,12048.200195,720900.0
12067.650391,12068.599609,11956.400391,11994.200195,605800.0
11969.950195,12054.700195,11935.299805,12043.200195,747200.0
12071.25,12081.200195,11998.75,12018.400391,562200.0
12047.349609,12057.049805,11888.849609,11921.5,609200.0
11939.099609,11981.950195,11888.049805,11937.5,599100.0
11950.5,11953.200195,11844.700195,11856.799805,650200.0
11867.349609,11923.200195,11832.299805,11910.150391,997700.0
11944.299805,12005.5,11934.0,11971.799805,752600.0
12026.400391,12098.849609,12023.599609,12086.700195,597700.0
12131.349609,12134.650391,12046.299805,12053.950195,437700.0
12082.450195,12182.75,12070.349609,12165.0,499600.0
12197.0,12237.700195,12163.450195,12221.650391,518900.0
12223.400391,12268.349609,12191.150391,12259.700195,623100.0
12266.450195,12293.900391,12252.75,12271.799805,810700.0
12235.450195,12287.150391,12213.25,12262.75,604800.0
12269.25,12283.700195,12202.099609,12214.549805,470300.0
12211.849609,12221.549805,12118.849609,12126.549805,520300.0
12172.900391,12258.450195,12157.900391,12245.799805,383800.0
12274.900391,12286.450195,12213.799805,12255.849609,411100.0
12247.099609,12247.099609,12151.799805,12168.450195,426900.0
12202.150391,12222.200195,12165.299805,12182.5,304100.0
12198.549805,12289.900391,12195.25,12282.200195,407700.0
12261.099609,12265.599609,12191.349609,12226.650391,428800.0
12170.599609,12179.099609,11974.200195,11993.049805,396500.0
12079.099609,12152.150391,12005.349609,12052.950195,447800.0
11939.099609,12044.950195,11929.599609,12025.349609,446000.0
